"","lon"
"1164",-72.23333
"1165",-70.443957
"1166",-71.016667
"1167",-72.283333
"1168",-74.014
"1169",-77.4167
"1170",-73.8667
"1171",-72.2167
"1172",-95.9271
"1173",-107.4025
"1174",-76.1429
"1175",-85.0211
"1176",-74.0175
"1177",-73.9435
"1178",-70.1765
"1179",-68.895
"1180",-77.9495
"1181",-74.1378
"1182",-71.4587
"1183",-70.2694
"1184",-73.943475
"1185",-68.895014
"1186",-70.269417
"1187",-77.949455
"1188",-74.137765
"1189",-74.017463
"1190",-73.63311
"1191",-73.933333
"1192",-75.951929
"1193",-68.8833
"1194",-70.176547
"1195",-69.6333
"1196",-69.5167
"1197",-71.2833
"1198",-69.2833
"1199",-97.4472
"1200",-97.2138
"1201",-81.2081
"1202",-97.283
"1203",-75.1363
"1204",-77.6984
"1205",-81.7436
"1206",-67.4333
"1207",-67.4312
"1208",-70.0262
"1209",-65.8568
"1210",-73.1596
"1211",-67.431192
"1212",-70.026235
"1213",-73.159594
"1214",-65.856769
"1215",-74.192074
"1216",-73.6942
"1217",-69.6847
"1218",-72.0022
"1219",-75.3605
"1220",-71.5667
"1221",-71.8831
"1222",-71.5124
"1223",-73.694209
"1224",-75.36053
"1225",-75.978
"1226",-65.6513
"1227",-96.8423
"1228",-77.8549
"1229",-97.2365
"1230",-66.8667
"1231",-65.1091
"1232",-73.6331
"1233",-67.9475
"1234",-71.4666
"1235",-66.4799
"1236",-64.3527
"1237",-73.692
"1238",-73.692033
"1239",-66.866667
"1240",-66.479933
"1241",-70.365419
"1242",-70.045956
"1243",-64.352681
"1244",-68.867612
"1245",-65.1333
"1246",-67.85
"1247",-65.641361
"1248",-70.2667
"1249",-97.2071
"1250",-68.3267
"1251",-75.888
"1252",-73.7567
"1253",-70.5544
"1254",-73.5671
"1255",-75.888049
"1256",-73.756702
"1257",-70.554372
"1258",-74.26582
"1259",-68.833333
"1260",-76.00309
"1261",-72.232114
"1262",-66.8333
"1263",-97.1366
"1264",-62.2118
"1265",-73.6462
"1266",-74.5188
"1267",-74.486
"1268",-75.5863
"1269",-71.5298
"1270",-73.5592
"1271",-71.2226
"1272",-71.2407
"1273",-74.518817
"1274",-75.58634
"1275",-71.222596
"1276",-62.211837
"1277",-73.646166
"1278",-71.240651
"1279",-74.486014
"1280",-75.0325
"1281",-75.03
"1282",-71.75
"1283",-99.8125
"1284",-64.2992
"1285",-64.06
"1286",-78.8658
"1287",-73.988
"1288",-70.2056
"1289",-71.194
"1290",-71.2343
"1291",-71.107
"1292",-70.7262
"1293",-64.4787
"1294",-70.205606
"1295",-71.458701
"1296",-71.234315
"1297",-73.98797
"1298",-71.194023
"1299",-68.858052
"1300",-62.5169
"1301",-83.7802
"1302",-77.742
"1303",-133.723
"1304",-81.1408
"1305",-83.3792
"1306",-104.6788
