"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","itis_code"
"3591","Polygonia oreas","Polygonia oreas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Polygonia","Polygonia oreas",NA
"3592","Hesperia juba","Hesperia juba","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia juba",NA
"3593","Papilio multicaudata","Papilio multicaudata","species","Papilio multicaudatus","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio multicaudata",NA
"3594","Erynnis propertius","Erynnis scudderi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis scudderi",NA
"3595","Pyrisitia nise","Pyrisitia nise","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pyrisitia","Pyrisitia nise",NA
"3596","Megathymus yuccae","Megathymus yuccae","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Megathymus","Megathymus yuccae",NA
"3597","Lycaena cupreus","Lycaena cupreus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena cupreus",NA
"3598","Heliopyrgus domicella","Heliopyrgus domicella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Heliopyrgus","Heliopyrgus domicella",NA
"3599","Panoquina lucas","Panoquina lucas","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Panoquina","Panoquina lucas",NA
"3600","Pellicia arina","Pellicia arina","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pellicia","Pellicia arina",NA
"3601","Systasea pulverulenta","Systasea pulverulenta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Systasea","Systasea pulverulenta",NA
