"","lat","lon"
"8384",46.8118,-71.2096
"8437",45.4032,-72.7341
"8483",46.8192,-71.1594
"8487",47.3286,-70.0405
"8491",46.8185,-71.177
"8502",49.2213,-68.1504
"8647",46.818528,-71.176997
"8658",46.8118,-71.209574
"8664",46.05,-74.2833
"8667",45.600768,-75.243415
"8668",46.048564,-74.281603
"8669",48.811818,-64.504129
"8671",46.09,-76.055
"8765",46.6,-77.25
"8798",46.1,-76.05
"8809",46.3833,-75.9667
"8842",46.2,-74.65
"8928",45.4833,-75.85
"8934",46.25,-76.0167
"8958",48.565,-78.1125
"8959",44.2998,-120.8345
"8961",43.2557,-79.8711
"8962",37.6202,-77.4711
"8963",39.2631,-79.4052
"8985",46.0428,-73.1123
"9000",46.8879,-71.1505
"9005",46.7581,-71.2405
"9033",46.0908,-73.2019
"9105",46.926,-70.731
"9124",46.012,-73.35
"9127",46.6756,-71.7349
"9130",46.439,-71.0213
"9145",45.742,-70.6943
"9185",46.758142,-71.240463
"9189",46.887939,-71.150535
"9202",46.090758,-73.201944
"9212",46.861556,-71.188677
"9255",46.813607,-71.203825
"9323",46.042825,-73.112302
"9340",46.926031,-70.730962
"9347",45.51667,-76.41667
"9348",45.518375,-76.41583
"9351",46.566667,-72.75
"9422",48.4167,-65.5
"9439",46.0833,-73.2167
"9451",45.43,-73.94
"9532",45.966667,-73.216667
"9533",43.6615,-70.2553
"9534",45.0918,-64.3598
"9536",27.9506,-82.4572
"9537",44.4082,-78.7687
"9538",26.7775,-80.0517
"9539",39.1902,-76.8949
"9540",39.114,-76.8627
"9549",46.8166,-71.2166
"9622",45.8937,-74.1618
"9646",46.7028,-70.7243
"9647",45.6307,-72.9563
"9649",47.3649,-70.0337
"9653",45.5503,-73.7585
"9658",46.6762,-71.2261
"9665",46.8665,-71.6399
"9713",46.866482,-71.639925
"9772",45.893682,-74.161776
"9794",45.52,-76.41
"9795",47.66198,-71.27573
"9815",46.3167,-74.2167
"9848",48.749259,-79.141483
"9907",46.4,-75.0333
"9911",48.5,-68.266667
"9913",44.9658,-79.9123
"9915",45.1966,-74.5731
"9916",44.9696,-79.919
"9923",43.313,-81.7562
"9924",44.4043,-78.7677
"9929",39.7329,-75.1316
"9930",44.8167,-78.7667
"9932",46.0159,-77.4523
"9940",46.8033,-71.2428
"9942",45.54,-73.6955
"9943",45.5138,-73.6057
"9967",45.2831,-72.9748
"9988",45.7522,-74.2591
"10031",45.5801,-70.8881
"10072",46.8909,-71.1478
"10091",46.871,-71.6394
"10122",48.90787,-66.17322
"10123",45.513765,-73.605705
"10125",46.803283,-71.242796
"10134",45.752173,-74.259102
"10145",45.283132,-72.974807
"10164",46.870954,-71.639353
"10180",47.364876,-70.033674
"10274",62.5,-77.5
"10281",45.483962,-73.40799
"10282",48.234253,-79.018759
"10287",45.7519,-74.2564
"10319",48.9214,-66.1956
"10354",45.42028,-73.9201
"10408",45.75,-74.25
"10430",32.9143,-108.2253
"10431",46.4055,-63.1952
"10432",46.3924,-83.2273
"10433",42.7777,-81.1827
"10490",45.8667,-74.7667
"10522",46.8133,-72.5069
"10554",45.3947,-71.91167
"10555",45.97478,-73.24619
"10556",47.5608,-71.2265
"10653",45.55033,-73.758497
"10666",47.236151,-71.22753
"10667",46.38333,-75.01667
"10668",62.53333,-77.38333
"10671",45.4,-71.9
