"","lat"
"3208",46.014012
"3220",45.51667
"3225",46.05
"3232",45.535
"3240",55.458
"3241",41.4173
"3245",48.5289
"3253",46.0447
"3254",45.5166
"3258",46.044738
"3266",48.528875
"3274",54.7833
"3280",45.0167
"3290",45.9595
"3330",45.9422
"3336",47.0162
"3351",45.942248
"3384",45.08333
"3436",47.328622
"3439",66.5
"3530",45.9489
"3578",45.948855
"3607",45.86667
"3736",33.6577
"3738",38.4825
"3739",43.9939
"3744",45.9574
"3751",33.6671
"3753",36.9625
"3758",42.4802
"3759",43.2107
"3760",56.5417
"3771",45.4392
"3785",45.4651
"3864",45.439163
"3930",47.60343
"4002",45.4667
"4009",45.866667
"4010",45.95288
"4013",45.21667
"4017",45.95164
"4033",45.465144
"4039",45.9167
"4071",45.2167
"4085",48.566667
"4103",46.3972
"4111",47.1818
"4113",47.5258
"4120",46.397209
"4126",47.525844
"4143",47.181815
"4153",45.15
"4180",38.5926
"4181",32.1656
"4191",34.6481
"4198",40.0672
"4223",38.5834
"4233",45.7873
"4234",48.3481
"4242",45.0195
"4244",45.3933
"4275",51.4832
"4287",45.787345
"4291",48.348097
"4308",45.019533
"4328",45.2202
"4330",45.790602
"4360",51.4594
"4374",50.18597
"4386",50.2
"4392",50.55
"4393",50.1833
"4411",45.2333
"4412",45.3
"4415",48.3667
"4423",50.8333
"4426",45.2667
"4442",50.2833
"4444",50.2167
"4453",45.882194
"4468",32.3063
"4486",41.064
"4489",45.9636
"4490",38.5719
"4493",45.5359
"4495",29.9012
"4505",45.89
"4545",45.8992
"4549",45.889997
"4598",45.53595
"4599",46.2667
"4674",45.899196
"4714",47.589466
"4721",45.6071
"4722",38.6549
"4723",38.6176
"4725",38.0153
"4729",38.5759
"4731",38.5776
"4733",38.3698
"4737",38.5348
"4738",38.5036
"4740",48.5244
"4742",45.5279
"4754",48.806
"4761",45.5733
"4780",49.0075
"4793",46.0924
"4797",51.2328
"4800",45.9587
"4833",46.747
"4860",45.516667
"4862",48.524444
"4863",45.527869
"4868",45.958702
"4878",48.805959
"4880",46.092449
"4919",45.573279
"4939",51.232769
"4947",49.007526
"4969",46.1167
"4997",48.251
"4999",45.53783
"5031",45.9833
"5033",47.05
"5047",44.5468
"5075",52.8613
"5089",48.0763
"5103",49.1246
