"","lon"
"6468",-113.9322
"6473",-99.4686
"6479",-95.6594
"6480",-82.1664
"6544",-74.1323
"6563",-74.6362
"6572",-74.1579
"6596",-70.9312
"6609",-73.7494
"6627",-73.94272
"6639",-74.132342
"6669",-74.157934
"6682",-74.63617
"6685",-70.931194
"6687",-76.099297
"6707",-73.749403
"6748",-76.076958
"6749",-73.21667
"6750",-76.021486
"6751",-76.0479
"6752",-76.07
"6756",-76.0748
"6763",-76.1667
"6826",-76.072778
"6885",-76.2333
"6892",-75.9167
"6919",-66.15
"6922",-75.6167
"6929",-80.3322
"6930",-70.9108
"6931",-64.4361
"6933",-69.8898
"6935",-105.6597
"6936",-69.1539
"6937",-73.8917
"6983",-68.6952
"6985",-73.8486
"7034",-71.2861
"7041",-74.1747
"7082",-71.2865
"7083",-70.2107
"7086",-70.2051
"7090",-73.6516
"7092",-73.1848
"7093",-73.4465
"7105",-73.8148
"7109",-74.0284
"7121",-75.727778
"7125",-74.028414
"7141",-68.695243
"7144",-69.153943
"7148",-73.848597
"7163",-74.174698
"7164",-71.286475
"7168",-73.184759
"7201",-73.651612
"7215",-71.973939
"7216",-73.891667
"7220",-73.814791
"7235",-70.205118
"7252",-71.28607
"7256",-70.210691
"7266",-73.446481
"7280",-79.26
"7284",-72.5121
"7294",-64.483333
"7296",-72.516
"7300",-68.7
"7303",-74.1667
"7398",-66.475938
"7449",-72.6
"7484",-72.1667
"7487",-75.4167
"7500",-60.7547
"7501",-114.1015
"7502",-80.2482
"7534",-71.2096
"7579",-72.7341
"7618",-71.1594
"7621",-70.0405
"7625",-71.177
"7633",-68.1504
"7763",-71.176997
"7775",-71.209574
"7779",-74.2833
"7782",-75.243415
"7784",-64.504129
"7786",-76.055
"7871",-77.25
"7903",-76.05
"7918",-75.9667
"8157",-75.85
"8206",-78.1125
"8207",-120.8345
"8208",-79.8711
"8209",-77.4711
"8210",-79.4052
"8229",-73.1123
"8240",-71.1505
"8244",-71.2405
"8270",-73.2019
"8331",-70.731
"8346",-73.35
"8349",-71.7349
"8352",-71.0213
"8363",-70.6943
"8395",-71.240463
"8398",-71.150535
"8408",-73.201944
"8417",-71.188677
"8455",-71.203825
"8510",-73.112302
"8526",-70.730962
"8533",-76.41667
"8534",-76.41583
"8539",-72.75
"8607",-65.5
"8636",-73.94
"8705",-73.216667
"8706",-70.2553
"8707",-64.3598
"8708",-82.4572
"8709",-78.7687
"8710",-80.0517
"8711",-76.8949
"8712",-76.8627
"8719",-71.2166
"8774",-74.1618
"8795",-70.7243
"8796",-72.9563
"8798",-70.0337
"8802",-73.7585
"8806",-71.2261
"8812",-71.6399
"8852",-71.639925
"8902",-74.161776
"8917",-76.41
"8918",-71.27573
"8935",-74.2167
"8968",-79.141483
"9030",-75.0333
