"","lat","lon"
"5638",46.228109,-73.016475
"5657",46.738227,-71.246459
"5673",46.812371,-71.180354
"5699",48.794,-66.076
"5700",48.91667,-66.2
"5701",49.2235,-65.1306
"5703",48.5246,-64.2142
"5706",45.6824,-75.9305
"5709",48.789,-66.091
"5724",46,-74.1833
"5737",46.2333,-73.0167
"5789",48.78333,-66.08333
"5791",48.916667,-66.2
"5795",48.35,-70.883333
"5839",46.106058,-74.032012
"5844",48.25,-65.9
"5846",48.9167,-66.1833
"5848",48.9333,-66.1667
"5856",48.8,-66.0667
"5870",48.9,-66.2
"5880",48.7833,-66.0833
"5899",48.9167,-76.2
"5922",48.95,-66.1167
"5926",48.1833,-65.9
"5964",48.7833,-66.1
"6006",48.78062,-66.07853
"6010",48.4671,-120.6434
"6012",53.9232,-106.0818
"6013",50.7746,-99.4937
"6015",41.6005,-93.6091
"6016",39.9766,-111.6149
"6098",43.9652,-64.7425
"6102",45.0475,-73.5845
"6153",46.766,-71.3554
"6154",45.5436,-73.4715
"6155",46.8616,-71.1887
"6156",47.0882,-72.6643
"6157",47.4424,-70.5041
"6159",45.2291,-74.1151
"6160",46.8618,-72.3955
"6174",45.3821,-74.1842
"6227",47.088245,-72.664302
"6241",45.403229,-72.734066
"6242",46.765975,-71.355392
"6279",46.861847,-72.395491
"6308",47.442406,-70.504084
"6318",48.2,-65.9
"6319",46.224592,-74.626964
"6320",53.8348,-78.9577
"6321",51.6195,-79.3694
"6338",45.8667,-74.2
"6368",45.840537,-72.258872
"6369",45.881422,-72.281188
"6372",48.832148,-64.487371
"6406",45.047497,-73.584455
"6425",46.2167,-74.6167
"6447",45.5167,-75.8167
"6448",45.45,-73.6333
"6449",48.9167,-66.2
"6452",46.2167,-74.6
"6468",52.4652,-113.9322
"6473",50.5319,-99.4686
"6479",50.1458,-95.6594
"6480",50.061,-82.1664
"6544",45.8508,-74.1323
"6563",46.1944,-74.6362
"6572",45.8941,-74.1579
"6596",46.9295,-70.9312
"6609",45.3602,-73.7494
"6627",45.40875,-73.94272
"6639",45.85076,-74.132342
"6669",45.894072,-74.157934
"6682",46.194377,-74.63617
"6685",46.929532,-70.931194
"6687",46.110809,-76.099297
"6707",45.360159,-73.749403
"6746",45.85,-74.1333
"6748",45.646026,-76.076958
"6749",45.96667,-73.21667
"6750",45.951844,-76.021486
"6751",45.6047,-76.0479
"6752",45.6386,-76.07
"6756",45.644,-76.0748
"6763",45.55,-76.1667
"6826",45.642778,-76.072778
"6885",45.5167,-76.2333
"6892",45.6833,-75.9167
"6919",48.95,-66.15
"6922",45.6,-75.6167
"6925",45.95,-75.9167
"6929",42.681,-80.3322
"6930",41.893,-70.9108
"6931",44.2287,-64.4361
"6933",62.8451,-69.8898
"6935",35.812,-105.6597
"6936",47.4544,-69.1539
"6937",46.0722,-73.8917
"6983",48.3756,-68.6952
"6985",45.9518,-73.8486
"7034",46.783,-71.2861
"7041",45.0867,-74.1747
"7081",48.6896,-71.9739
"7082",46.8997,-71.2865
"7083",47.5644,-70.2107
"7086",47.5654,-70.2051
"7090",45.623,-73.6516
"7092",46.0835,-73.1848
"7093",45.9843,-73.4465
"7105",46.5588,-73.8148
"7109",45.4954,-74.0284
"7121",46.139722,-75.727778
"7125",45.495401,-74.028414
"7141",48.375643,-68.695243
"7144",47.454375,-69.153943
"7148",45.951803,-73.848597
"7163",45.08672,-74.174698
"7164",46.899729,-71.286475
"7168",46.083474,-73.184759
"7201",45.622968,-73.651612
"7215",48.689632,-71.973939
"7216",46.072217,-73.891667
"7220",46.558758,-73.814791
"7235",47.565378,-70.205118
"7252",46.782996,-71.28607
"7256",47.564442,-70.210691
"7266",45.984348,-73.446481
"7280",47.05,-79.26
"7284",45.22,-72.5121
"7294",48.833333,-64.483333
"7296",45.217,-72.516
"7300",48.3667,-68.7
"7303",45.0833,-74.1667
"7398",49.017603,-66.475938
"7446",45.2167,-72.7167
"7449",45.15,-72.6
"7454",45.2,-72.5667
"7484",45.3167,-72.1667
"7485",45.0333,-72.55
"7487",45.5833,-75.4167
"7500",46.0999,-60.7547
"7501",50.9146,-114.1015
"7502",43.5448,-80.2482
"7534",46.8118,-71.2096
"7579",45.4032,-72.7341
"7618",46.8192,-71.1594
"7621",47.3286,-70.0405
"7625",46.8185,-71.177
"7633",49.2213,-68.1504
"7763",46.818528,-71.176997
"7775",46.8118,-71.209574
"7779",46.05,-74.2833
"7782",45.600768,-75.243415
"7783",46.048564,-74.281603
"7784",48.811818,-64.504129
"7786",46.09,-76.055
"7871",46.6,-77.25
"7903",46.1,-76.05
"7918",46.3833,-75.9667
"7975",46.2,-74.65
"8157",45.4833,-75.85
"8162",46.25,-76.0167
"8206",48.565,-78.1125
"8207",44.2998,-120.8345
"8208",43.2557,-79.8711
"8209",37.6202,-77.4711
"8210",39.2631,-79.4052
"8229",46.0428,-73.1123
"8240",46.8879,-71.1505
"8244",46.7581,-71.2405
"8270",46.0908,-73.2019
"8331",46.926,-70.731
"8346",46.012,-73.35
"8349",46.6756,-71.7349
"8352",46.439,-71.0213
"8363",45.742,-70.6943
"8395",46.758142,-71.240463
"8398",46.887939,-71.150535
"8408",46.090758,-73.201944
"8417",46.861556,-71.188677
"8455",46.813607,-71.203825
"8510",46.042825,-73.112302
"8526",46.926031,-70.730962
"8533",45.51667,-76.41667
"8534",45.518375,-76.41583
"8539",46.566667,-72.75
"8607",48.4167,-65.5
"8623",46.0833,-73.2167
"8636",45.43,-73.94
"8705",45.966667,-73.216667
"8706",43.6615,-70.2553
"8707",45.0918,-64.3598
"8708",27.9506,-82.4572
"8709",44.4082,-78.7687
"8710",26.7775,-80.0517
"8711",39.1902,-76.8949
"8712",39.114,-76.8627
"8719",46.8166,-71.2166
"8774",45.8937,-74.1618
"8795",46.7028,-70.7243
"8796",45.6307,-72.9563
"8798",47.3649,-70.0337
"8802",45.5503,-73.7585
"8806",46.6762,-71.2261
"8812",46.8665,-71.6399
"8852",46.866482,-71.639925
"8902",45.893682,-74.161776
"8917",45.52,-76.41
"8918",47.66198,-71.27573
"8935",46.3167,-74.2167
"8968",48.749259,-79.141483
"9030",46.4,-75.0333
"9034",48.5,-68.266667
"9036",44.9658,-79.9123
"9038",45.1966,-74.5731
"9039",44.9696,-79.919
"9045",43.313,-81.7562
"9046",44.4043,-78.7677
"9050",39.7329,-75.1316
"9051",44.8167,-78.7667
"9053",46.0159,-77.4523
"9060",46.8033,-71.2428
"9062",45.54,-73.6955
"9063",45.5138,-73.6057
"9082",45.2831,-72.9748
"9098",45.7522,-74.2591
"9136",45.5801,-70.8881
"9168",46.8909,-71.1478
"9186",46.871,-71.6394
"9211",48.90787,-66.17322
"9212",45.513765,-73.605705
"9214",46.803283,-71.242796
"9222",45.752173,-74.259102
"9232",45.283132,-72.974807
"9245",46.870954,-71.639353
"9258",47.364876,-70.033674
"9343",62.5,-77.5
"9351",45.483962,-73.40799
"9353",48.234253,-79.018759
"9358",45.7519,-74.2564
"9391",48.9214,-66.1956
"9425",45.42028,-73.9201
"9476",45.75,-74.25
"9500",32.9143,-108.2253
"9501",46.4055,-63.1952
"9502",46.3924,-83.2273
"9503",42.7777,-81.1827
"9550",45.8667,-74.7667
"9577",46.8133,-72.5069
"9605",45.3947,-71.91167
"9606",45.97478,-73.24619
"9607",47.5608,-71.2265
